State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Houston,2312717,,,,
TX,San Antonio,1511946,,,,
TX,Dallas,1341075,,,,
TX,Austin,950715,,,,
TX,Fort Worth,874168,,,,
TX,El Paso,683577,,,,
TX,Arlington,396394,,,,
TX,Corpus Christi,325605,,,,
TX,Plano,286143,,,,
TX,Laredo,260654,,,,
TX,Lubbock,253888,,,,
TX,Irving,240373,,,,
TX,Garland,238002,,,,
TX,Amarillo,199826,,,,
TX,Grand Prairie,193837,,,,
TX,Brownsville,183299,,,,
TX,McKinney,181330,,,,
TX,Frisco,177286,,,,
TX,Pasadena,153520,,,,
TX,Killeen,145482,,,,
TX,Mesquite city,143949,,,,
TX,McAllen,142696,,,,
TX,Waco,136436,,,,
TX,Denton,136268,,,,
TX,Midland,136089,,,,
TX,Carrollton,135710,,,,
TX,Round Rock,123678,,,,
TX,Abilene,121885,,,,
TX,Pearland,119940,,,,
TX,Beaumont,119114,,,,
TX,Odessa,116861,,,,
TX,Richardson,116783,,,,
TX,College Station,113564,,,,
TX,The Woodlands,108373,,,,
TX,Lewisville,106021,,,,
TX,Tyler,104991,,,,
TX,League City,104903,,,,
TX,Wichita Falls,104747,,,,
TX,Allen,100685,,,,
TX,San Angelo,100119,,,,
TX,Edinburg,90280,,,,
TX,Sugar Land,88485,,,,
TX,Mission,84424,,,,
TX,Conroe,84378,,,,
TX,Bryan,84021,,,,
TX,Longview,81522,,,,
TX,Pharr,79487,,,,
TX,New Braunfels,79152,,,,
TX,Baytown,76804,,,,
TX,Flower Mound,76681,,,,
TX,Cedar Park,75704,,,,
TX,Temple,74503,,,,
TX,Missouri City,74497,,,,
TX,Atascocita,72713,,,,
TX,Georgetown,70685,,,,
TX,North Richland Hills,70441,,,,
TX,Mansfield,68928,,,,
TX,Victoria,67106,,,,
TX,Harlingen,65467,,,,
TX,Pflugerville,63359,,,,
TX,San Marcos,63071,,,,
TX,Rowlett,62868,,,,
TX,Spring,58608,,,,
TX,Port Arthur,55498,,,,
TX,Euless,55174,,,,
TX,Grapevine,53982,,,,
TX,DeSoto,53568,,,,
TX,Galveston,50497,,,,
TX,Wylie,49826,,,,
TX,Bedford,49486,,,,
TX,Leander,49234,,,,
TX,Cedar Hill,48710,,,,
TX,Texas City,48558,,,,
TX,Keller,47266,,,,
TX,Little Elm,46548,,,,
TX,Burleson,46145,,,,
TX,Haltom City,44417,,,,
TX,Rockwall,44208,,,,
TX,Kyle,43480,,,,
TX,The Colony,42721,,,,
TX,Coppell,41941,,,,
TX,Sherman,41917,,,,
TX,Huntsville,41277,,,,
TX,Channelview,40534,,,,
TX,Weslaco,40358,,,,
TX,Schertz,40092,,,,
TX,Friendswood,39839,,,,
TX,Duncanville,39487,,,,
TX,Lancaster,39386,,,,
TX,Hurst,39051,,,,
TX,Rosenberg,37661,,,,
TX,Mission Bend,37334,,,,
TX,Texarkana,37333,,,,
TX,Farmers Branch,37088,,,,
TX,San Juan city,36981,,,,
TX,Del Rio,36006,,,,
TX,Lufkin,35837,,,,
TX,La Porte,35371,,,,
TX,Waxahachie,35340,,,,
TX,Socorro,34048,,,,
TX,Deer Park,33891,,,,
TX,Nacogdoches,33614,,,,
TX,Copperas Cove,32706,,,,
TX,Southlake,31824,,,,
TX,Harker Heights,31075,,,,
TX,Weatherford,30654,,,,
TX,Cleburne,30230,,,,
TX,Cibolo,29249,,,,
TX,Seguin,28983,,,,
TX,Eagle Pass,28945,,,,
TX,Fort Hood,28350,,,,
TX,Big Spring,27905,,,,
TX,Lake Jackson,27473,,,,
TX,Greenville,27443,,,,
TX,Colleyville,26674,,,,
TX,Alvin,26474,,,,
TX,Timberwood Park,26388,,,,
TX,Sachse,25937,,,,
TX,Kingsville,25482,,,,
TX,Hutto,25367,,,,
TX,Balch Springs,25357,,,,
TX,Midlothian,25254,,,,
TX,University Park,25201,,,,
TX,West Odessa,24821,,,,
TX,Paris,24800,,,,
TX,Watauga,24602,,,,
TX,San Benito,24528,,,,
TX,Denison,24380,,,,
TX,Canyon Lake,24014,,,,
TX,Corsicana,23683,,,,
TX,Benbrook,23590,,,,
TX,Cloverleaf,23505,,,,
TX,Kerrville,23386,,,,
TX,Converse,23375,,,,
TX,Marshall,23195,,,,
TX,Saginaw,23014,,,,
TX,Fresno,22244,,,,
TX,Brushy Creek,21780,,,,
TX,Belton,21734,,,,
TX,Corinth,21152,,,,
TX,Stephenville,20797,,,,
TX,Plainview,20767,,,,
TX,Murphy,20673,,,,
TX,Universal City,20532,,,,
